Customer ID,Client Segment,Country,Product ID,Product Category,Purchasing Price,Order ID,Order Date,Delivery Date,Service Level,Quantity,Planned Sales Price,Profit
1-65916486,Consumer,Algeria,Product 17,Computer & Laptop,"18,711",O-64866599,27-Nov-20,30-Nov-20,3,3,"25,073","6,362"
1-43306805,Corporate,Egypt,Product 7,Electronics,"36,081",O-68054334,22-Nov-20,23-Nov-20,1,13,"45,101","9,020"
1-79444727,Consumer,Egypt,Product 3,Electronics,"24,395",O-47277946,6-Jan-20,8-Jan-20,2,4,"30,494","6,099"
1-99736151,Consumer,Morocco,Product 12,Furniture,"44,494",O-61519974,23-Oct-20,24-Oct-20,1,5,"59,177","14,683"
1-43901708,Corporate,United Arab Emirates,Product 11,Furniture,"44,772",O-17084394,22-Apr-20,25-Apr-20,3,12,"69,397","24,625"
1-9869230,Consumer,Saudi Arabia,Product 16,Computer & Laptop,"19,080",O-92309866,2-Dec-20,4-Dec-20,2,4,"26,712","7,632"
1-82239311,Consumer,Algeria,Product 18,Computer & Laptop,"12,308",O-93118227,13-Sep-20,15-Sep-20,2,2,"16,247","3,939"
1-10691235,Corporate,Algeria,Product 12,Furniture,"44,494",O-12351066,4-Aug-20,6-Aug-20,2,15,"55,618","11,124"
1-78985187,Consumer,Algeria,Product 5,Electronics,"27,702",O-51877894,15-Sep-20,18-Sep-20,3,4,"36,567","8,865"
1-15186805,Corporate,Saudi Arabia,Product 3,Electronics,"24,395",O-68051517,7-Jul-20,8-Jul-20,1,25,"34,153","9,758"
1-35094568,Corporate,United Arab Emirates,Product 7,Electronics,"36,081",O-45683508,5-Mar-20,7-Mar-20,2,23,"55,926","19,845"
1-3925794,Corporate,United Arab Emirates,Product 2,Electronics,"13,144",O-57943928,25-Jun-20,27-Jun-20,2,16,"20,373","7,229"
1-87166818,Consumer,Egypt,Product 2,Electronics,"13,144",O-68188713,4-Mar-20,6-Mar-20,2,5,"16,430","3,286"
1-75771880,Consumer,Iraq,Product 13,Furniture,"50,443",O-18807577,6-Apr-20,8-Apr-20,2,4,"58,009","7,566"
1-89753717,Consumer,Morocco,Product 9,Furniture,"57,057",O-37178975,1-Jan-20,4-Jan-20,3,2,"75,886","18,829"
1-19358961,Corporate,Morocco,Product 17,Computer & Laptop,"18,711",O-89611935,20-Mar-20,23-Mar-20,3,22,"24,886","6,175"
1-51569007,Corporate,United Arab Emirates,Product 1,Electronics,"28,272",O-90075151,28-May-20,31-May-20,3,1,"43,822","15,550"
1-83976896,Consumer,Morocco,Product 4,Electronics,"19,232",O-68968398,25-May-20,28-May-20,3,5,"25,579","6,347"
1-82568558,Consumer,United Arab Emirates,Product 18,Computer & Laptop,"12,308",O-85588252,3-Jan-20,5-Jan-20,2,5,"19,077","6,769"
1-55233160,Consumer,Algeria,Product 13,Furniture,"50,443",O-31605528,27-Jan-20,28-Jan-20,1,5,"65,071","14,628"
1-24918060,Corporate,Morocco,Product 12,Furniture,"44,494",O-80602491,31-Jul-20,3-Aug-20,3,20,"59,177","14,683"
1-59297618,Consumer,Algeria,Product 1,Electronics,"28,272",O-76185925,3-Feb-20,4-Feb-20,1,1,"36,754","8,482"
1-72795699,Consumer,Saudi Arabia,Product 5,Electronics,"27,702",O-56997276,3-Jul-20,4-Jul-20,1,1,"38,783","11,081"
1-14142642,Corporate,Saudi Arabia,Product 6,Electronics,"27,960",O-26421417,26-Mar-20,27-Mar-20,1,16,"39,144","11,184"
1-1202597,Corporate,Morocco,Product 13,Furniture,"50,443",O-25971204,23-Jul-20,25-Jul-20,2,22,"67,089","16,646"
1-37400456,Corporate,Egypt,Product 10,Furniture,"23,699",O-04563743,5-Apr-20,7-Apr-20,2,5,"29,624","5,925"
1-98552793,Consumer,Saudi Arabia,Product 12,Furniture,"44,494",O-27939857,12-Oct-20,13-Oct-20,1,3,"62,292","17,798"
1-71238379,Consumer,Morocco,Product 7,Electronics,"36,081",O-83797126,20-Aug-20,21-Aug-20,1,3,"47,988","11,907"
1-77280809,Consumer,Morocco,Product 13,Furniture,"50,443",O-08097724,26-Feb-20,28-Feb-20,2,3,"67,089","16,646"
1-69310474,Consumer,Morocco,Product 16,Computer & Laptop,"19,080",O-04746935,15-Jun-20,16-Jun-20,1,2,"25,376","6,296"
1-31272364,Corporate,Algeria,Product 8,Furniture,"43,423",O-23643129,26-Mar-20,27-Mar-20,1,21,"56,884","13,461"
1-58965609,Consumer,United Arab Emirates,Product 11,Furniture,"44,772",O-56095895,25-Jun-20,26-Jun-20,1,4,"69,397","24,625"
1-78100822,Consumer,Iraq,Product 19,Computer & Laptop,"15,954",O-08227813,14-Aug-20,16-Aug-20,2,3,"18,347","2,393"
1-43159202,Corporate,United Arab Emirates,Product 13,Furniture,"50,443",O-92024316,10-Feb-20,11-Feb-20,1,9,"78,187","27,744"
1-45396557,Consumer,Algeria,Product 5,Electronics,"27,702",O-65574532,16-Jan-20,17-Jan-20,1,13,"36,567","8,865"
1-60869313,Consumer,Saudi Arabia,Product 8,Furniture,"43,423",O-93136081,1-May-20,4-May-20,3,3,"60,792","17,369"
1-59987902,Consumer,Iraq,Product 2,Electronics,"13,144",O-79025993,19-May-20,20-May-20,1,1,"15,116","1,972"
1-15770644,Corporate,United Arab Emirates,Product 3,Electronics,"24,395",O-06441577,13-May-20,14-May-20,1,23,"37,812","13,417"
1-30818741,Corporate,United Arab Emirates,Product 1,Electronics,"28,272",O-87413084,18-Apr-20,19-Apr-20,1,22,"43,822","15,550"
1-21583026,Corporate,Iraq,Product 16,Computer & Laptop,"19,080",O-30262153,8-Jan-20,10-Jan-20,2,11,"21,942","2,862"
1-24721878,Corporate,Morocco,Product 4,Electronics,"19,232",O-18782471,13-Nov-20,14-Nov-20,1,20,"25,579","6,347"
1-64318005,Consumer,Egypt,Product 17,Computer & Laptop,"18,711",O-80056438,10-Apr-20,11-Apr-20,1,1,"23,389","4,678"
1-9924428,Consumer,United Arab Emirates,Product 9,Furniture,"57,057",O-44289923,5-Aug-20,6-Aug-20,1,4,"88,438","31,381"
1-89175225,Consumer,United Arab Emirates,Product 11,Furniture,"44,772",O-52258917,10-Aug-20,13-Aug-20,3,4,"69,397","24,625"
1-7379116,Consumer,Egypt,Product 5,Electronics,"27,702",O-91167375,28-Sep-20,30-Sep-20,2,5,"34,628","6,926"
1-91815463,Consumer,Morocco,Product 19,Computer & Laptop,"15,954",O-54639183,29-Jun-20,1-Jul-20,2,3,"21,219","5,265"
1-20992718,Corporate,United Arab Emirates,Product 6,Electronics,"27,960",O-27182094,15-Nov-20,17-Nov-20,2,20,"43,338","15,378"
1-84011901,Consumer,Iraq,Product 8,Furniture,"43,423",O-19018404,9-Jan-20,11-Jan-20,2,1,"49,936","6,513"
1-91788911,Consumer,Iraq,Product 15,Computer & Laptop,"23,070",O-89119177,11-Sep-20,12-Sep-20,1,2,"26,531","3,461"
1-23932392,Corporate,United Arab Emirates,Product 2,Electronics,"13,144",O-23922391,5-Dec-20,7-Dec-20,2,22,"20,373","7,229"
1-54533714,Consumer,Morocco,Product 14,Furniture,"21,430",O-37145457,12-Dec-20,14-Dec-20,2,1,"28,502","7,072"
1-91860900,Consumer,United Arab Emirates,Product 3,Electronics,"24,395",O-09009182,1-May-20,4-May-20,3,2,"37,812","13,417"
1-80815216,Consumer,Morocco,Product 1,Electronics,"28,272",O-52168085,7-Oct-20,8-Oct-20,1,3,"37,602","9,330"
1-52724456,Consumer,United Arab Emirates,Product 15,Computer & Laptop,"23,070",O-44565271,31-Dec-20,1-Jan-21,1,4,"35,759","12,689"
1-92564417,Consumer,Egypt,Product 2,Electronics,"13,144",O-44179253,2-Dec-20,5-Dec-20,3,4,"16,430","3,286"
1-1750930,Corporate,Algeria,Product 17,Computer & Laptop,"18,711",O-09301753,1-May-20,2-May-20,1,18,"25,073","6,362"
1-59192494,Consumer,Algeria,Product 15,Computer & Laptop,"23,070",O-24945917,15-Oct-20,18-Oct-20,3,1,"30,914","7,844"
1-32546902,Consumer,Egypt,Product 9,Furniture,"57,057",O-69023255,11-Apr-20,14-Apr-20,3,15,"71,321","14,264"
1-67538760,Consumer,Egypt,Product 18,Computer & Laptop,"12,308",O-87606756,18-Oct-20,19-Oct-20,1,4,"15,385","3,077"
1-88358679,Consumer,Egypt,Product 4,Electronics,"19,232",O-86798836,10-May-20,13-May-20,3,2,"24,040","4,808"
1-48656977,Corporate,Iraq,Product 15,Computer & Laptop,"23,070",O-69774868,26-Jul-20,28-Jul-20,2,24,"26,531","3,461"
1-4851235,Corporate,Morocco,Product 7,Electronics,"36,081",O-12354855,22-Mar-20,23-Mar-20,1,12,"47,988","11,907"
1-55668288,Consumer,Iraq,Product 8,Furniture,"43,423",O-82885567,27-Jul-20,28-Jul-20,1,4,"49,936","6,513"
1-64977392,Consumer,Egypt,Product 14,Furniture,"21,430",O-73926493,9-Nov-20,11-Nov-20,2,2,"26,788","5,358"
1-79699242,Consumer,Iraq,Product 19,Computer & Laptop,"15,954",O-92427966,6-Dec-20,9-Dec-20,3,2,"18,347","2,393"
1-43205955,Corporate,Algeria,Product 4,Electronics,"19,232",O-59554326,7-Jul-20,8-Jul-20,1,16,"25,771","6,539"
1-1518150,Corporate,Egypt,Product 18,Computer & Laptop,"12,308",O-81501513,16-Oct-20,19-Oct-20,3,16,"15,385","3,077"
1-52769776,Consumer,Morocco,Product 9,Furniture,"57,057",O-97765272,1-Jul-20,3-Jul-20,2,1,"75,886","18,829"
1-7694281,Consumer,Morocco,Product 6,Electronics,"27,960",O-42817692,31-Jan-20,2-Feb-20,2,1,"37,187","9,227"
1-5248651,Consumer,Morocco,Product 16,Computer & Laptop,"19,080",O-86515247,1-Apr-20,3-Apr-20,2,5,"25,376","6,296"
1-66869940,Consumer,Morocco,Product 4,Electronics,"19,232",O-99406689,26-Jan-20,28-Jan-20,2,5,"25,579","6,347"
1-66800055,Consumer,Algeria,Product 5,Electronics,"27,702",O-00556687,26-Feb-20,27-Feb-20,1,1,"36,567","8,865"
1-46887623,Corporate,Morocco,Product 16,Computer & Laptop,"19,080",O-76234684,3-May-20,6-May-20,3,8,"25,376","6,296"
1-34582632,Corporate,United Arab Emirates,Product 12,Furniture,"44,494",O-26323459,18-Mar-20,21-Mar-20,3,6,"68,966","24,472"
1-20199862,Corporate,United Arab Emirates,Product 11,Furniture,"44,772",O-98622011,8-Dec-20,11-Dec-20,3,10,"69,397","24,625"
1-27972825,Corporate,Algeria,Product 5,Electronics,"27,702",O-28252797,28-Jul-20,29-Jul-20,1,12,"36,567","8,865"
1-3926534,Corporate,Iraq,Product 9,Furniture,"57,057",O-65343924,9-Apr-20,10-Apr-20,1,10,"65,616","8,559"
1-79605757,Consumer,Morocco,Product 6,Electronics,"27,960",O-57577962,30-Oct-20,31-Oct-20,1,2,"37,187","9,227"
1-64542123,Consumer,Algeria,Product 13,Furniture,"50,443",O-21236458,31-May-20,3-Jun-20,3,3,"65,071","14,628"
1-67222321,Consumer,United Arab Emirates,Product 5,Electronics,"27,702",O-23216726,31-Aug-20,1-Sep-20,1,5,"42,938","15,236"
1-58946141,Consumer,Algeria,Product 6,Electronics,"27,960",O-61415895,22-Jul-20,23-Jul-20,1,3,"36,348","8,388"
1-27364324,Corporate,Saudi Arabia,Product 2,Electronics,"13,144",O-43242737,17-Jul-20,19-Jul-20,2,18,"18,402","5,258"
1-46563250,Corporate,United Arab Emirates,Product 18,Computer & Laptop,"12,308",O-32504658,8-Jun-20,11-Jun-20,3,7,"19,077","6,769"
1-88652014,Consumer,Saudi Arabia,Product 9,Furniture,"57,057",O-20148864,20-Jul-20,23-Jul-20,3,4,"79,880","22,823"
1-679616,Consumer,Egypt,Product 3,Electronics,"24,395",O-96166795,9-Dec-20,12-Dec-20,3,5,"30,494","6,099"
1-80733153,Consumer,Algeria,Product 19,Computer & Laptop,"15,954",O-31538074,14-Jun-20,15-Jun-20,1,1,"20,581","4,627"
1-50723388,Consumer,Egypt,Product 11,Furniture,"44,772",O-33885076,19-May-20,20-May-20,1,1,"55,965","11,193"
1-83326210,Consumer,Egypt,Product 13,Furniture,"50,443",O-62108337,8-Jan-20,9-Jan-20,1,4,"63,054","12,611"
1-25567577,Corporate,United Arab Emirates,Product 8,Furniture,"43,423",O-75772554,29-Jul-20,30-Jul-20,1,18,"67,306","23,883"
1-54136190,Consumer,Algeria,Product 4,Electronics,"19,232",O-61905418,8-Nov-20,9-Nov-20,1,2,"25,771","6,539"
1-72161259,Consumer,United Arab Emirates,Product 19,Computer & Laptop,"15,954",O-12597215,18-Nov-20,20-Nov-20,2,3,"24,729","8,775"
1-10881813,Corporate,Egypt,Product 7,Electronics,"36,081",O-18131087,30-Jun-20,2-Jul-20,2,7,"45,101","9,020"
1-58068358,Consumer,Egypt,Product 15,Computer & Laptop,"23,070",O-83585805,3-Mar-20,6-Mar-20,3,2,"28,838","5,768"
1-27894157,Corporate,Morocco,Product 18,Computer & Laptop,"12,308",O-41572787,17-Oct-20,18-Oct-20,1,7,"16,370","4,062"
1-77352532,Consumer,Morocco,Product 13,Furniture,"50,443",O-25327736,13-Jul-20,14-Jul-20,1,4,"67,089","16,646"
1-208333,Corporate,Algeria,Product 18,Computer & Laptop,"12,308",O-83332089,20-Nov-20,21-Nov-20,1,12,"16,247","3,939"
1-5869567,Corporate,United Arab Emirates,Product 14,Furniture,"21,430",O-95675869,13-Jun-20,14-Jun-20,1,3,"33,217","11,787"
1-81324392,Consumer,Morocco,Product 14,Furniture,"21,430",O-43928136,17-May-20,18-May-20,1,5,"28,502","7,072"
1-4971152,Corporate,Morocco,Product 13,Furniture,"50,443",O-11524979,28-Oct-20,31-Oct-20,3,10,"67,089","16,646"
1-20052906,Corporate,Saudi Arabia,Product 20,Computer & Laptop,"12,734",O-29062007,6-Jun-20,7-Jun-20,1,25,"17,828","5,094"
1-13795111,Corporate,Saudi Arabia,Product 8,Furniture,"43,423",O-51111378,20-May-20,23-May-20,3,18,"60,792","17,369"
1-11041541,Corporate,Saudi Arabia,Product 8,Furniture,"43,423",O-15411108,17-Oct-20,18-Oct-20,1,16,"60,792","17,369"
1-90884104,Corporate,United Arab Emirates,Product 2,Electronics,"13,144",O-41049084,26-Jan-20,29-Jan-20,3,2,"20,373","7,229"
1-99709106,Consumer,Saudi Arabia,Product 14,Furniture,"21,430",O-91069979,13-Nov-20,14-Nov-20,1,2,"30,002","8,572"
1-60722642,Consumer,Morocco,Product 6,Electronics,"27,960",O-26426071,14-Jun-20,15-Jun-20,1,2,"37,187","9,227"
1-17932943,Corporate,Iraq,Product 12,Furniture,"44,494",O-29431793,3-Feb-20,4-Feb-20,1,9,"51,168","6,674"
1-61391228,Consumer,Algeria,Product 18,Computer & Laptop,"12,308",O-12286134,15-Dec-20,18-Dec-20,3,5,"16,247","3,939"
1-63358104,Consumer,Morocco,Product 2,Electronics,"13,144",O-81046336,13-Nov-20,14-Nov-20,1,3,"17,482","4,338"
1-22064289,Corporate,Morocco,Product 19,Computer & Laptop,"15,954",O-42892207,5-Feb-20,8-Feb-20,3,14,"21,219","5,265"
1-7808485,Consumer,Iraq,Product 16,Computer & Laptop,"19,080",O-84857807,15-Dec-20,16-Dec-20,1,1,"21,942","2,862"
1-97551649,Consumer,Egypt,Product 17,Computer & Laptop,"18,711",O-16499756,5-Aug-20,8-Aug-20,3,4,"23,389","4,678"
1-20273828,Corporate,Saudi Arabia,Product 12,Furniture,"44,494",O-38282021,12-Jan-20,14-Jan-20,2,10,"62,292","17,798"
1-88612229,Consumer,Morocco,Product 6,Electronics,"27,960",O-22298867,21-Dec-20,23-Dec-20,2,4,"37,187","9,227"
1-50890499,Consumer,Egypt,Product 16,Computer & Laptop,"19,080",O-04995089,9-Dec-20,12-Dec-20,3,1,"23,850","4,770"
1-90676856,Consumer,Saudi Arabia,Product 19,Computer & Laptop,"15,954",O-68569068,31-Jan-20,1-Feb-20,1,3,"22,336","6,382"
1-19861433,Corporate,Iraq,Product 16,Computer & Laptop,"19,080",O-14331984,10-Oct-20,13-Oct-20,3,10,"21,942","2,862"
1-78003166,Consumer,Egypt,Product 14,Furniture,"21,430",O-31667802,31-Oct-20,2-Nov-20,2,1,"26,788","5,358"
1-15256537,Corporate,Saudi Arabia,Product 19,Computer & Laptop,"15,954",O-65371524,10-Oct-20,13-Oct-20,3,7,"22,336","6,382"
1-16897551,Corporate,United Arab Emirates,Product 6,Electronics,"27,960",O-75511681,26-Aug-20,28-Aug-20,2,15,"43,338","15,378"
1-13887012,Corporate,Saudi Arabia,Product 4,Electronics,"19,232",O-70121389,30-Nov-20,3-Dec-20,3,19,"26,925","7,693"
1-83932099,Consumer,Iraq,Product 7,Electronics,"36,081",O-20998397,26-Aug-20,28-Aug-20,2,2,"41,493","5,412"
1-72546803,Consumer,Egypt,Product 18,Computer & Laptop,"12,308",O-68037258,11-Apr-20,14-Apr-20,3,1,"15,385","3,077"
1-47618930,Corporate,Egypt,Product 1,Electronics,"28,272",O-89304768,5-Jan-20,7-Jan-20,2,12,"35,340","7,068"
1-99724260,Consumer,Egypt,Product 2,Electronics,"13,144",O-42609976,2-Apr-20,4-Apr-20,2,2,"16,430","3,286"
1-34544799,Corporate,Saudi Arabia,Product 2,Electronics,"13,144",O-47993455,9-Apr-20,11-Apr-20,2,5,"18,402","5,258"
1-87683282,Consumer,Algeria,Product 10,Furniture,"23,699",O-32828764,27-Apr-20,29-Apr-20,2,1,"30,572","6,873"
1-20255160,Consumer,Egypt,Product 9,Furniture,"57,057",O-51602021,4-Apr-20,7-Apr-20,3,17,"71,321","14,264"
1-87898016,Consumer,Algeria,Product 5,Electronics,"27,702",O-80168782,1-Oct-20,4-Oct-20,3,3,"36,567","8,865"
1-4039207,Corporate,United Arab Emirates,Product 12,Furniture,"44,494",O-92074032,10-Jul-20,12-Jul-20,2,24,"68,966","24,472"
1-73002212,Consumer,Algeria,Product 3,Electronics,"24,395",O-22127303,12-Sep-20,13-Sep-20,1,3,"31,226","6,831"
1-16715928,Corporate,Iraq,Product 8,Furniture,"43,423",O-59281679,22-Jul-20,23-Jul-20,1,20,"49,936","6,513"
1-16732341,Consumer,Egypt,Product 20,Computer & Laptop,"12,734",O-23411678,29-Nov-20,2-Dec-20,3,14,"15,918","3,184"
1-31297956,Corporate,Iraq,Product 7,Electronics,"36,081",O-79563128,15-Dec-20,17-Dec-20,2,12,"41,493","5,412"
1-14147260,Corporate,Morocco,Product 5,Electronics,"27,702",O-72601417,31-May-20,3-Jun-20,3,19,"36,844","9,142"
1-54678438,Consumer,Algeria,Product 10,Furniture,"23,699",O-84385463,12-Jun-20,15-Jun-20,3,3,"30,572","6,873"
1-83126735,Consumer,Iraq,Product 2,Electronics,"13,144",O-67358317,24-Jan-20,27-Jan-20,3,3,"15,116","1,972"
1-54199809,Consumer,Morocco,Product 6,Electronics,"27,960",O-98095413,6-Jul-20,9-Jul-20,3,4,"37,187","9,227"
1-3589942,Corporate,United Arab Emirates,Product 6,Electronics,"27,960",O-99423581,22-Oct-20,23-Oct-20,1,16,"43,338","15,378"
1-75847742,Consumer,Egypt,Product 19,Computer & Laptop,"15,954",O-77427586,30-Apr-20,3-May-20,3,3,"19,943","3,989"
1-19959079,Corporate,Morocco,Product 13,Furniture,"50,443",O-90791998,28-Jan-20,30-Jan-20,2,8,"67,089","16,646"
1-70934917,Consumer,Saudi Arabia,Product 12,Furniture,"44,494",O-49177095,17-May-20,20-May-20,3,1,"62,292","17,798"
1-4055910,Corporate,Algeria,Product 20,Computer & Laptop,"12,734",O-59104054,25-Mar-20,28-Mar-20,3,12,"16,554","3,820"
1-69011551,Consumer,Morocco,Product 12,Furniture,"44,494",O-15516902,6-Oct-20,8-Oct-20,2,2,"59,177","14,683"
1-87281353,Consumer,Egypt,Product 11,Furniture,"44,772",O-13538726,18-Dec-20,21-Dec-20,3,1,"55,965","11,193"
1-38323231,Corporate,Saudi Arabia,Product 19,Computer & Laptop,"15,954",O-32313835,20-Apr-20,23-Apr-20,3,16,"22,336","6,382"
1-91748228,Corporate,United Arab Emirates,Product 1,Electronics,"28,272",O-82289177,2-Mar-20,3-Mar-20,1,4,"43,822","15,550"
1-23126818,Corporate,Algeria,Product 17,Computer & Laptop,"18,711",O-68182314,23-Aug-20,26-Aug-20,3,7,"25,073","6,362"
